search_id	search_date	clicks	group
-3136706724385003188	2017-11-23	0	2
-3139609516900744687	2017-11-22	0	2
-776473245209166820	2017-11-22	0	2
2254608150971607405	2017-11-25	1	2
2397168305001145852	2017-11-24	0	2
5439191959223930261	2017-11-23	2	2
5735646154866181948	2017-11-22	0	2
5854249984373116148	2017-11-23	0	2
6343394467929635388	2017-11-22	0	2
6435077472498835679	2017-11-23	0	2
6613155785556509965	2017-11-23	0	2
6643329979558667353	2017-11-22	0	2
7351318559890110711	2017-11-23	0	2
8098517284114433367	2017-11-23	0	2
-1339531293551735418	2017-11-22	1	2
-2570866643354919999	2017-11-24	0	2
-2905668546470813721	2017-11-25	0	2
-3002598721259185856	2017-11-24	0	2
-3120155813184973609	2017-11-22	0	2
-3593727429307656254	2017-11-22	1	2
-5078282674048101530	2017-11-24	0	2
-6303990955130454006	2017-11-24	0	2
-743069652428807719	2017-11-22	0	2
-8004795456333036954	2017-11-24	0	2
-8808089146880774097	2017-11-23	0	2
3524007876007797026	2017-11-25	0	2
4259653349178084551	2017-11-24	0	2
4393008722750282398	2017-11-24	0	2
7914726492825987327	2017-11-24	0	2
8101757756748554053	2017-11-23	0	2
8476409531507952665	2017-11-22	0	2
8886149966810975120	2017-11-22	0	2
9016355451516042514	2017-11-25	0	2
-1019837042422519311	2017-11-24	0	2
-2290812012213883055	2017-11-23	0	2
-2401032194404830389	2017-11-24	1	2
-4772655953918276745	2017-11-22	0	2
-6101998783462326513	2017-11-23	2	2
-760175417222433606	2017-11-24	3	2
1003052199489914834	2017-11-24	0	2
6530145595808845087	2017-11-25	1	2
7534251137527005880	2017-11-23	0	2
8563497876856072699	2017-11-22	0	2
-5741757617884179554	2017-11-24	1	2
3648944083000133875	2017-11-23	0	2
-8933206897138277444	2017-11-22	1	2
5769973820947421582	2017-11-22	0	2
-5314625611404619471	2017-11-23	0	2
-8333459498658144961	2017-11-22	0	2
1342508128955700911	2017-11-22	0	2
1515785592178847020	2017-11-24	0	2
5722710419648308813	2017-11-23	1	2
-1867415265253189604	2017-11-22	1	2
-2925045357616057296	2017-11-23	1	2
-9018957720126072038	2017-11-24	2	2
5765253659564711790	2017-11-22	1	2
7777709462048360965	2017-11-22	0	2
-483536856841281108	2017-11-24	0	2
-7227206340956694368	2017-11-23	1	2
2648658992377195934	2017-11-25	0	2
5072382165890592653	2017-11-22	0	2
8024067627994876668	2017-11-22	0	2
-2054151572456433098	2017-11-24	2	2
-8021384638637642211	2017-11-22	0	2
1620028310786517421	2017-11-24	1	2
2465545812510752876	2017-11-23	1	2
-2586274188389616042	2017-11-23	1	2
-4313563181701363376	2017-11-23	0	2
-4765261932886932803	2017-11-22	0	2
-7342579035005109927	2017-11-24	0	2
-9210607286739617965	2017-11-25	0	2
4137539081573007890	2017-11-23	1	2
7036869352991646148	2017-11-23	0	2
8737040895576022455	2017-11-23	0	2
-3317493982971938136	2017-11-23	0	2
5396761958500717937	2017-11-23	1	2
7106513117070878810	2017-11-24	0	2
7342859390403386249	2017-11-22	0	2
7801168091808295291	2017-11-23	0	2
-345312812884632842	2017-11-24	0	2
-3500367829465914105	2017-11-23	0	2
-4975866212898621564	2017-11-23	1	2
-5806807676703098470	2017-11-24	2	2
-6300071756524830214	2017-11-23	0	2
-773826942417490396	2017-11-23	2	2
-8503446606320847482	2017-11-25	0	2
-8997229959349670006	2017-11-23	0	2
1078880291982396342	2017-11-22	1	2
1711046913862879646	2017-11-24	0	2
3359553619228984156	2017-11-22	2	2
4032634360039864204	2017-11-24	0	2
4675453324520630076	2017-11-22	0	2
5059499211722703181	2017-11-24	0	2
5446653638588906815	2017-11-24	0	2
8529253434894226811	2017-11-22	0	2
-2436422448952915991	2017-11-24	0	2
-3844113156553815542	2017-11-24	0	2
-5990567616496630033	2017-11-23	0	2
-6203325392939900102	2017-11-25	0	2
-6406340196775785200	2017-11-25	0	2
-6476735731161947017	2017-11-22	0	2
-739677307394743071	2017-11-23	0	2
3950826605184232155	2017-11-23	1	2
6974926150345597681	2017-11-22	0	2
7164634439249155073	2017-11-24	0	2
8351164762303264049	2017-11-22	0	2
-1037279542662917673	2017-11-23	0	2
-448501318242578922	2017-11-22	1	2
1815450631591043873	2017-11-22	1	2
4205735677075600950	2017-11-23	0	2
6723159291732739044	2017-11-24	0	2
7185256258056931339	2017-11-22	0	2
7589953454600758598	2017-11-23	0	2
-2886414426074109920	2017-11-23	0	2
-3066008522770208093	2017-11-23	1	2
-361435916684442932	2017-11-23	1	2
-3669540802863917423	2017-11-22	1	2
-4767900054286928668	2017-11-22	1	2
-5683325685353588606	2017-11-24	0	2
-5708271813959912422	2017-11-24	0	2
-5770656859411628236	2017-11-23	1	2
-6017874173024937915	2017-11-23	1	2
-6368070092575237783	2017-11-22	0	2
-665674816029073853	2017-11-22	1	2
-6969225715115150065	2017-11-24	1	2
-7828131502888503536	2017-11-22	1	2
-8011151618673308193	2017-11-23	1	2
-8647619107652407783	2017-11-24	0	2
1312354486686015423	2017-11-22	0	2
1561631100350084884	2017-11-23	0	2
2545671873799633530	2017-11-23	0	2
3782649260590494359	2017-11-22	1	2
4333005097580327346	2017-11-24	0	2
6606702044865187215	2017-11-24	0	2
-1780676214029957728	2017-11-23	2	2
-2499155352497024631	2017-11-24	0	2
-3267112540036018822	2017-11-23	0	2
-3342731839859985411	2017-11-23	1	2
-5143372816315769337	2017-11-22	1	2
-6647852913239776737	2017-11-23	0	2
4516958765573258289	2017-11-22	0	2
-185084463089677619	2017-11-22	4	2
-6798838001702635363	2017-11-24	3	2
-7569656529173580742	2017-11-22	0	2
-8692401083228169128	2017-11-24	2	2
7854961046017926218	2017-11-23	1	2
-1519479085061923485	2017-11-25	3	2
-1631366929705035069	2017-11-22	0	2
-1760284555605708618	2017-11-23	3	2
-3462459660797073343	2017-11-22	1	2
-3822493373704717868	2017-11-22	0	2
-4661107493945504284	2017-11-23	3	2
-5084123913074075591	2017-11-23	1	2
-6158861293205617227	2017-11-23	1	2
